Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.7205999999999999,0.6131332582579313,0.7306398917337635,0.666666706225055,0.7969559899431689
Random Forest,0.7086,0.6170798941650566,0.6302215903653985,0.6231925367706539,0.7708803592036241
Gradient Boosting,0.7238,0.6263022893369403,0.6882574877311936,0.655667710893436,0.7921011321709674
XGBoost,0.7002,0.6057926532369364,0.618185173540388,0.6116027572032611,0.7574887578562768
LightGBM,0.7111999999999998,0.6164039494376399,0.6474649023279975,0.6312655223547933,0.7707884324248488
CatBoost,0.7116,0.6175188804648081,0.6464191489070852,0.6314427416371532,0.7809710618383396
